nombre,start,end,region,detalle
Miguel Borrull,1866-01-01,1926-01-01,Castellón,
Ramón Montoya,1879-11-02,1949-07-20,Madrid,
Manolo de Huelva,1892-11-16,1976-05-12,Huelva,
Perico el del Lunar,1894-01-01,1964-03-17,Jerez,
Niño Ricardo,1904-07-11,1972-04-14,Sevilla,
Melchor de Marchena,1907-07-17,1980-01-01,Sevilla,
Diego del Gastor,1908-03-27,1973-07-07,Sevilla,
Sabicas,1912-03-16,1990-04-14,Pamplona,
Juan Habichuela,1933-08-12,2016-06-30,Granada,
Ramón de Algeciras,1938-02-05,2009-01-20,Cádiz,
Diego de Morón,1947-04-18,2025-08-31,Sevilla,
Paco de Lucía,1947-12-21,2014-02-25,Cádiz,
Enrique de Melchor,1950-07-15,2012-01-03,Sevilla,
Niño Miguel,1952-01-27,2013-05-23,Huelva,
Moraíto Chico,1956-09-13,2011-08-10,Jerez,
